               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.030431,           0.0071906,                   0,             0.80746,                 0.7,             0.70026,             0.26416,            0.044795,            0.010688,                   0,           0.0024889,           0.0024889,           0.0024889
                  90,            0.029474,           0.0074877,                   0,              0.7585,             0.73333,              0.6761,             0.27475,            0.047173,            0.011113,                   0,           0.0024024,           0.0024024,           0.0024024
                  91,             0.02976,            0.007621,                   0,             0.78124,             0.71667,             0.68166,             0.27577,            0.046286,             0.01097,                   0,            0.002318,            0.002318,            0.002318
                  92,            0.029186,           0.0074704,                   0,             0.69822,             0.73333,             0.67391,             0.27392,             0.04833,            0.011021,                   0,           0.0022358,           0.0022358,           0.0022358
                  93,            0.029678,           0.0073086,                   0,             0.73177,             0.68206,              0.6904,             0.26447,            0.048608,            0.010867,                   0,           0.0021558,           0.0021558,           0.0021558
                  94,             0.02979,           0.0073755,                   0,             0.73567,                0.65,             0.64554,             0.25879,            0.047583,            0.010688,                   0,           0.0020782,           0.0020782,           0.0020782
                  95,             0.02909,           0.0073952,                   0,             0.71697,             0.63333,             0.64819,             0.27754,            0.047791,            0.011239,                   0,           0.0020028,           0.0020028,           0.0020028
                  96,            0.028488,           0.0074151,                   0,             0.62496,                0.75,             0.69811,             0.27408,            0.047748,            0.011142,                   0,           0.0019299,           0.0019299,           0.0019299
                  97,            0.028653,           0.0071425,                   0,             0.65636,             0.73221,             0.66451,             0.25486,            0.049641,            0.010822,                   0,           0.0018594,           0.0018594,           0.0018594
                  98,            0.028728,           0.0072522,                   0,             0.65111,             0.78333,             0.67556,             0.26771,            0.049236,             0.01088,                   0,           0.0017914,           0.0017914,           0.0017914
                  99,            0.029513,           0.0077989,                   0,             0.68912,             0.66667,             0.65017,             0.24874,            0.048231,            0.011174,                   0,            0.001726,            0.001726,            0.001726
